"Symbol","Name","Industry","Market Cap (Short)","Market Cap (Raw)","$Price","%Change","Volume","%Volume"
"600519","Kweichow Moutai Co.,Ltd","Main Board","221.1M","221097093.789","1760.05","-0.73","1255757","-49.18"
"600941","CHINA MOBILE","Main Board","193.8M","193780283.9467","90.6","0.40","12201627","18.83"
"601398","Industrial and Commercial Bank of China","Main Board","171.1M","171075003.4027","4.8","0.21","178304921","-26.04"
"601939","China Construction Bank Corporation","Main Board","160M","160007025.591","6.4","0.63","70789184","-24.4"
"601857","Petrochina Company","Main Board","130.5M","130493957.1842","7.13","-0.70","50110679","-57.83"
"601288","Agricultural Bank of China","Main Board","127.7M","127743807.3636","3.65","0.83","311545298","-0.24"
"601988","Bank of China","Main Board","116.9M","116871953.1227","3.97","0.51","172051545","-5.78"
"600938","CNOOC","Main Board","92.1M","92089255.073","19.36","0.73","22699304","-24.6"
"601628","China Life Insurance Company","Main Board","89.4M","89372997.21","31.62","-0.97","9430542","-37.72"
"601318","PING AN INSURANCE (GROUP) COMPANY OF CHINA,","Main Board","78.1M","78067275.7602","42.87","-1.13","38608889","-26.71"
"600036","CHINA MERCHANTS BANK CO.,","Main Board","77M","77021408.4655","30.54","-0.33","31571993","-28.57"
"600028","China Petroleum & Chemical Corporation","Main Board","65.7M","65685318.366","5.48","-0.90","73794971","-40.89"
"601088","China Shenhua Energy Company","Main Board","61.1M","61135435.9015","30.77","0.10","12905634","-22.56"
"600900","China Yangtze Power Co.,","Main Board","55.6M","55567322.433","22.71","0.49","71263004","31.17"
"601728","China Telecom Corporation","Main Board","46.9M","46943162.1526","5.13","-2.10","197488068","46.14"
"601658","Postal Savings Bank of China Co.,Ltd","Main Board","45M","45019128.5213","4.54","-0.44","59512800","-42.08"
"601328","Bank of Communications Co.,Ltd","Main Board","43.2M","43220906.9074","5.82","0.17","67925033","-24.85"
"688981","Semiconductor Manufacturing International Corporation","STAR Market","42.4M","42446921.5643","53.42","-1.66","19855533","-38.72"
"600030","CITIC Securities Company","Main Board","33.2M","33242486.5374","22.43","-0.75","46210073","-38.57"
"601138","Foxconn Industrial Internet Co.,Ltd","Main Board","31.7M","31666152.1639","15.94","-2.86","82517451","-28.11"
"601899","Zijin Mining Group Company","Main Board","31.5M","31512905.7743","11.97","-0.25","72428050","-18.29"
"601166","Industrial Bank Co.,Ltd","Main Board","30.7M","30683626.4201","14.77","-0.54","40511590","-24.15"
"600276","Jiangsu Hengrui Pharmaceuticals Co.,Ltd","Main Board","29.9M","29853730.6423","46.8","-1.12","13957572","-52.56"
"600809","Shanxi Xinghuacun Fen Wine Factory Co.,Ltd","Main Board","29M","29035148.4836","238","-1.86","2518776","-31.36"
"601998","China Citic Bank Corporation","Main Board","26.6M","26637975.079","5.44","-0.18","18351288","-41.48"
"600309","Wanhua Chemical Group Co.,Ltd","Main Board","25.9M","25855813.4651","82.35","-1.14","7677300","-19.94"
"603259","Wuxi Apptec Co.,Ltd","Main Board","25.4M","25358933.6098","85.42","-2.60","12472522","-33.85"
"601816","Beijing-Shanghai High Speed Railway Co.,Ltd","Main Board","24.1M","24062177.4594","4.9","-0.20","39642746","-30.54"
"601633","GREAT WALL MOTOR COMPANY","Main Board","23.6M","23602932.6169","27.78","-1.21","11293609","-45.79"
